Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16
0,0,1549,4056,22,3747,3751,3752,3754,3754,3755,3754,3760,3758,7,33785
0,0,1549,4120,20,3747,3750,3753,3754,3754,3755,3754,3760,3758,7,33785
0,0,1549,4184,20,3747,3750,3752,3754,3754,3755,3754,3760,3757,-7,33783
0,0,1549,4235,20,3747,3751,3753,3754,3754,3755,3754,3760,3758,7,33786
0,0,1549,4298,22,3747,3751,3753,3754,3754,3755,3754,3760,3758,0,33786
0,0,1549,4349,22,3747,3751,3753,3754,3754,3755,3754,3760,3758,0,33786
0,0,1549,4388,20,3747,3751,3753,3754,3754,3755,3754,3760,3758,0,33786
0,0,1549,4426,20,3747,3751,3753,3754,3754,3755,3754,3760,3758,0,33786
0,0,1549,4477,20,3747,3751,3753,3754,3754,3755,3754,3760,3758,7,33786
0,0,1549,4515,22,3747,3751,3753,3754,3754,3755,3754,3760,3758,7,33786
0,0,1549,4554,20,3747,3751,3753,3753,3754,3755,3754,3760,3758,-7,33785
0,0,1549,4579,22,3747,3751,3753,3754,3754,3755,3754,3760,3758,0,33786
0,0,1549,4617,20,3747,3751,3753,3754,3754,3755,3754,3760,3758,0,33786
0,0,1549,4656,20,3747,3751,3753,3754,3754,3755,3754,3760,3758,0,33786
0,0,1549,4681,19,3747,3751,3753,3754,3754,3755,3754,3760,3758,0,33786
0,0,1549,4694,20,3747,3751,3753,3754,3754,3755,3754,3760,3758,7,33786
0,0,1549,4732,20,3747,3751,3753,3754,3754,3755,3754,3760,3758,7,33786
0,0,1549,4745,20,3747,3751,3753,3754,3754,3755,3753,3760,3758,-7,33785
0,0,1549,4770,22,3747,3751,3753,3754,3754,3755,3754,3760,3758,0,33786
0,0,1549,4796,20,3747,3751,3752,3754,3754,3755,3754,3760,3758,0,33785
0,0,1549,4809,20,3747,3751,3753,3754,3754,3755,3754,3760,3758,7,33786
0,0,1549,4821,20,3747,3751,3753,3754,3754,3755,3754,3760,3758,0,33786
0,0,1549,4847,20,3747,3751,3753,3754,3754,3755,3754,3760,3758,7,33786
0,0,1549,4860,20,3747,3751,3753,3754,3754,3755,3754,3760,3758,0,33786
0,0,1549,4872,20,3747,3751,3753,3754,3754,3755,3754,3760,3758,0,33786
0,0,1549,4898,20,3747,3751,3753,3754,3754,3755,3754,3760,3758,0,33786
0,0,1549,4911,19,3747,3751,3753,3754,3754,3755,3754,3760,3758,7,33786
0,0,1549,4911,20,3747,3751,3753,3754,3754,3755,3754,3760,3758,-7,33786
0,0,1549,4936,20,3747,3751,3753,3754,3754,3755,3754,3760,3758,0,33786
0,0,1549,4936,20,3747,3751,3753,3754,3754,3755,3754,3760,3758,0,33786
0,0,1549,4949,17,3747,3751,3753,3754,3754,3755,3754,3760,3758,0,33786
0,0,1549,4962,19,3747,3751,3753,3754,3754,3755,3754,3760,3758,-7,33786
0,0,1549,4974,19,3747,3751,3753,3754,3754,3755,3754,3760,3758,7,33786
0,0,1549,4987,19,3747,3751,3753,3754,3754,3755,3754,3760,3758,15,33786
0,0,1549,4987,19,3747,3751,3753,3754,3754,3755,3754,3760,3758,0,33786
0,0,1549,5000,19,3747,3751,3753,3754,3754,3755,3754,3760,3758,0,33786
0,0,1549,5000,19,3747,3750,3753,3754,3754,3755,3754,3760,3758,0,33785
0,0,1549,5013,19,3747,3751,3753,3754,3754,3755,3754,3760,3758,7,33786
