Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12
26752,0,37838,4199,4208,4198,4200,4207,4201,4207,4207,4211
27073,15,37839,4199,4208,4198,4200,4207,4201,4207,4208,4211
27382,-7,37839,4199,4208,4198,4200,4208,4201,4207,4208,4210
27734,7,37838,4199,4208,4198,4200,4207,4201,4207,4207,4211
28055,22,37838,4199,4208,4198,4200,4207,4201,4207,4207,4211
28407,7,37838,4199,4208,4198,4200,4207,4201,4207,4207,4211
28713,7,37837,4199,4208,4198,4200,4207,4201,4207,4207,4210
29034,0,37838,4199,4208,4198,4200,4207,4201,4207,4207,4211
29385,0,37838,4199,4208,4198,4200,4207,4201,4207,4207,4211
29704,0,37837,4199,4208,4198,4200,4207,4201,4207,4207,4210
30012,7,37837,4199,4208,4198,4200,4207,4201,4207,4207,4210
30363,7,37837,4199,4207,4198,4200,4207,4201,4207,4207,4211
30685,7,37837,4199,4208,4198,4200,4207,4201,4207,4207,4210
30993,0,37837,4199,4208,4198,4200,4207,4201,4207,4207,4210
31344,7,37835,4199,4208,4197,4200,4207,4201,4206,4207,4210
31663,15,37837,4199,4208,4198,4200,4207,4201,4207,4207,4210
32017,0,37836,4199,4208,4198,4199,4207,4201,4207,4207,4210
32323,7,37834,4198,4207,4197,4200,4207,4201,4207,4207,4210
32645,0,37833,4199,4207,4197,4199,4206,4201,4207,4207,4210
32996,0,37833,4199,4207,4197,4199,4207,4201,4206,4207,4210
33302,7,37833,4199,4207,4197,4199,4207,4201,4206,4207,4210
33623,0,37834,4198,4207,4197,4200,4207,4201,4207,4207,4210
33975,-7,37836,4198,4208,4198,4200,4207,4201,4207,4207,4210
34296,15,37833,4198,4207,4197,4199,4207,4201,4207,4207,4210
34604,0,37834,4199,4207,4197,4199,4207,4201,4207,4207,4210
34956,0,37834,4199,4207,4197,4199,4207,4201,4207,4207,4210
35277,0,37834,4198,4208,4197,4200,4206,4201,4207,4207,4210
35628,0,37833,4198,4207,4197,4199,4207,4201,4207,4207,4210
35934,7,37833,4199,4207,4197,4199,4207,4201,4206,4207,4210
36256,7,37831,4198,4207,4197,4199,4207,4200,4206,4207,4210
36607,7,37832,4198,4207,4197,4199,4207,4201,4206,4207,4210
36913,0,37832,4198,4207,4197,4199,4207,4201,4206,4207,4210
37234,0,37832,4198,4207,4197,4199,4207,4201,4206,4207,4210
37586,7,37831,4198,4207,4197,4199,4207,4200,4206,4207,4210
37907,0,37830,4198,4207,4197,4199,4206,4200,4206,4207,4210
38213,15,37831,4198,4207,4197,4199,4207,4200,4206,4207,4210
38565,7,37831,4198,4207,4197,4199,4206,4201,4206,4207,4210
38886,-7,37831,4198,4207,4197,4199,4206,4201,4206,4207,4210
39240,0,37831,4198,4207,4197,4199,4206,4201,4206,4207,4210
39546,0,37830,4198,4207,4197,4199,4206,4200,4206,4207,4210
39867,7,37829,4198,4207,4197,4199,4206,4200,4206,4207,4209
40219,0,37831,4198,4207,4197,4199,4206,4201,4206,4207,4210
40528,0,37828,4198,4207,4197,4199,4206,4200,4206,4206,4209
40849,-7,37831,4198,4207,4197,4199,4206,4201,4206,4207,4210
41203,15,37828,4198,4207,4197,4199,4206,4200,4206,4206,4209
41524,7,37830,4198,4207,4197,4199,4206,4200,4206,4207,4210
41830,0,37829,4198,4207,4197,4199,4206,4200,4206,4207,4209
42182,0,37830,4198,4207,4197,4199,4206,4201,4206,4206,4210
42503,0,37829,4198,4207,4197,4199,4206,4200,4206,4206,4210
42855,7,37830,4198,4207,4197,4199,4206,4200,4206,4207,4210
43163,0,37829,4198,4207,4197,4199,4206,4200,4206,4206,4210
43484,7,37829,4198,4207,4197,4199,4206,4200,4206,4207,4209
43836,7,37830,4198,4207,4197,4199,4206,4200,4206,4207,4210
44142,7,37829,4198,4207,4197,4199,4206,4200,4206,4206,4210
44463,0,37829,4198,4207,4197,4199,4206,4201,4206,4206,4209
44814,0,37829,4198,4207,4197,4199,4206,4201,4206,4206,4209
45135,0,37829,4198,4207,4197,4199,4206,4200,4206,4206,4210
45441,0,37829,4198,4207,4197,4199,4206,4200,4206,4207,4209
45793,-7,37828,4198,4207,4197,4199,4206,4200,4206,4206,4209
46114,7,37828,4198,4207,4197,4199,4206,4200,4206,4206,4209
46465,7,37829,4198,4207,4197,4199,4206,4200,4206,4207,4209
46771,7,37828,4198,4207,4197,4199,4206,4200,4206,4206,4209
47092,0,37828,4198,4207,4197,4199,4206,4200,4206,4206,4209
47444,15,37828,4198,4207,4197,4199,4206,4200,4206,4206,4209
47753,0,37826,4198,4206,4196,4199,4206,4200,4206,4206,4209
48074,0,37828,4198,4206,4197,4199,4206,4200,4206,4207,4209
48425,0,37828,4198,4207,4197,4199,4206,4200,4206,4206,4209
48746,15,37828,4198,4207,4197,4199,4206,4200,4206,4206,4209
49055,7,37827,4198,4207,4196,4199,4206,4200,4206,4206,4209
49407,7,37828,4198,4207,4197,4199,4206,4200,4206,4206,4209
49727,0,37828,4198,4207,4197,4199,4206,4200,4206,4206,4209
50079,0,37828,4198,4207,4197,4199,4206,4200,4206,4206,4209
50385,7,37828,4198,4207,4197,4199,4206,4200,4206,4206,4209
50706,7,37828,4198,4207,4197,4199,4206,4200,4206,4206,4209
51057,0,37828,4198,4207,4197,4199,4206,4200,4206,4206,4209
51363,7,37828,4198,4207,4197,4199,4206,4200,4206,4206,4209
51684,0,37827,4198,4206,4197,4199,4206,4200,4206,4206,4209
52036,0,37827,4198,4206,4197,4199,4206,4200,4206,4206,4209
52357,7,37827,4198,4206,4197,4199,4206,4200,4206,4206,4209
52665,7,37827,4198,4206,4197,4199,4206,4200,4206,4206,4209
53017,0,37826,4198,4206,4196,4199,4206,4200,4206,4206,4209
53338,15,37828,4198,4207,4197,4199,4206,4200,4206,4206,4209
53692,-7,37828,4198,4207,4197,4199,4206,4200,4206,4206,4209
54001,-7,37828,4198,4207,4197,4199,4206,4200,4206,4206,4209
54322,15,37827,4198,4207,4196,4199,4206,4200,4206,4206,4209
54674,7,37827,4198,4207,4196,4199,4206,4200,4206,4206,4209
54983,7,37828,4198,4207,4197,4199,4206,4200,4206,4206,4209
55304,0,37826,4198,4206,4196,4199,4206,4200,4206,4206,4209
55655,15,37828,4198,4207,4197,4199,4206,4200,4206,4206,4209
55976,0,37827,4198,4206,4197,4199,4206,4200,4206,4206,4209
56282,-7,37826,4198,4206,4196,4199,4206,4200,4206,4206,4209
56634,7,37825,4198,4206,4196,4198,4206,4200,4206,4206,4209
56955,15,37827,4198,4206,4197,4199,4206,4200,4206,4206,4209
57307,0,37828,4198,4207,4197,4199,4206,4200,4206,4206,4209
57615,0,37826,4198,4206,4196,4199,4206,4200,4206,4206,4209
57934,0,37826,4198,4206,4196,4199,4206,4200,4206,4206,4209
58285,15,37825,4198,4206,4196,4199,4206,4200,4205,4206,4209
58593,0,37826,4198,4206,4196,4199,4206,4200,4206,4206,4209
58912,0,37828,4198,4207,4197,4199,4206,4200,4206,4206,4209
59263,7,37826,4198,4206,4196,4199,4206,4200,4206,4206,4209
59584,-7,37826,4198,4206,4196,4199,4206,4200,4206,4206,4209
59893,0,37826,4198,4206,4197,4198,4206,4200,4206,4206,4209
60244,0,37828,4198,4207,4197,4199,4206,4200,4206,4206,4209
