Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12
0,0,37506,4164,4170,4161,4163,4170,4164,4170,4170,4174
0,0,37508,4163,4170,4162,4163,4170,4165,4170,4171,4174
0,0,37505,4164,4170,4161,4163,4169,4164,4170,4170,4174
0,0,37507,4164,4170,4162,4163,4170,4164,4170,4170,4174
0,0,37506,4163,4170,4162,4163,4170,4164,4170,4170,4174
0,0,37508,4164,4170,4162,4163,4170,4164,4170,4171,4174
0,0,37506,4164,4170,4162,4163,4169,4164,4170,4170,4174
0,0,37505,4163,4170,4162,4163,4169,4164,4170,4170,4174
0,-7,37507,4164,4170,4162,4163,4170,4164,4170,4170,4174
0,7,37506,4164,4170,4162,4163,4169,4164,4170,4170,4174
0,15,37507,4163,4170,4162,4163,4170,4164,4170,4171,4174
0,7,37507,4163,4170,4162,4163,4170,4164,4170,4171,4174
0,7,37508,4164,4170,4162,4163,4170,4164,4170,4171,4174
0,0,37506,4164,4170,4161,4163,4169,4164,4170,4171,4174
0,15,37507,4164,4170,4162,4163,4170,4164,4170,4170,4174
0,0,37507,4164,4170,4162,4163,4170,4164,4170,4170,4174
0,0,37507,4164,4170,4162,4163,4170,4164,4170,4170,4174
0,0,37506,4164,4170,4161,4163,4170,4164,4170,4170,4174
0,-7,37507,4164,4170,4162,4163,4170,4164,4170,4170,4174
0,7,37506,4164,4170,4161,4163,4170,4164,4170,4170,4174
0,7,37507,4163,4170,4162,4163,4170,4164,4170,4171,4174
0,0,37506,4164,4170,4161,4163,4169,4164,4170,4171,4174
0,7,37506,4163,4170,4162,4163,4170,4164,4170,4170,4174
0,0,37507,4163,4170,4162,4163,4170,4164,4170,4171,4174
0,0,37507,4164,4170,4162,4163,4169,4164,4170,4171,4174
0,7,37508,4164,4170,4162,4163,4170,4164,4170,4171,4174
0,0,37507,4164,4170,4162,4163,4170,4164,4170,4170,4174
0,0,37507,4163,4171,4162,4163,4170,4164,4170,4170,4174
0,-7,37508,4164,4171,4162,4163,4170,4164,4170,4170,4174
0,7,37508,4164,4170,4162,4163,4170,4164,4170,4171,4174
0,-7,37507,4163,4170,4162,4163,4170,4164,4170,4171,4174
0,0,37508,4164,4170,4162,4163,4170,4164,4170,4171,4174
0,15,37507,4164,4170,4162,4163,4169,4164,4170,4171,4174
0,0,37507,4163,4171,4162,4163,4170,4164,4170,4170,4174
0,7,37507,4164,4170,4162,4163,4169,4164,4170,4171,4174
0,7,37505,4164,4170,4161,4163,4169,4164,4169,4171,4174
0,7,37506,4164,4170,4161,4163,4170,4164,4170,4170,4174
0,15,37507,4163,4170,4162,4163,4170,4164,4170,4171,4174
0,0,37508,4164,4170,4162,4163,4170,4164,4170,4171,4174
0,7,37507,4163,4170,4162,4163,4170,4164,4170,4171,4174
0,7,37508,4164,4170,4162,4163,4170,4164,4170,4171,4174
0,0,37507,4164,4170,4162,4163,4169,4164,4170,4171,4174
0,7,37508,4164,4170,4162,4163,4170,4164,4170,4171,4174
0,0,37505,4163,4170,4162,4163,4170,4164,4169,4170,4174
0,7,37505,4163,4170,4161,4163,4170,4164,4170,4170,4174
0,-7,37505,4163,4170,4161,4163,4170,4164,4170,4170,4174
0,-7,37507,4163,4170,4162,4163,4170,4164,4170,4171,4174
0,-7,37508,4164,4170,4162,4163,4170,4164,4170,4171,4174
0,15,37507,4164,4170,4162,4163,4170,4164,4170,4170,4174
0,0,37506,4164,4170,4161,4163,4170,4164,4169,4171,4174
290,0,37505,4163,4170,4161,4163,4169,4164,4170,4171,4174
