Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12
0,0,34938,3875,3883,3883,3883,3883,3882,3883,3882,3884
0,-7,34937,3875,3883,3883,3883,3882,3882,3883,3882,3884
0,-7,34937,3875,3883,3883,3883,3883,3882,3882,3882,3884
0,-7,34937,3875,3883,3883,3883,3883,3882,3882,3882,3884
0,0,34937,3875,3883,3883,3883,3883,3882,3882,3882,3884
0,7,34937,3875,3883,3883,3883,3883,3882,3882,3882,3884
0,0,34938,3875,3883,3883,3883,3883,3882,3883,3882,3884
0,-7,34938,3875,3883,3883,3883,3883,3882,3883,3882,3884
0,7,34938,3875,3883,3883,3883,3883,3882,3883,3882,3884
0,0,34938,3875,3883,3883,3883,3883,3882,3883,3882,3884
0,7,34938,3875,3883,3883,3884,3883,3882,3882,3882,3884
0,-7,34937,3875,3883,3883,3883,3883,3882,3882,3882,3884
0,0,34939,3875,3883,3883,3884,3883,3882,3883,3882,3884
0,0,34938,3875,3883,3883,3884,3883,3882,3882,3882,3884
0,-7,34938,3875,3883,3883,3884,3882,3882,3883,3882,3884
0,0,34937,3875,3883,3883,3883,3883,3882,3882,3882,3884
0,0,34939,3875,3883,3883,3884,3883,3882,3883,3882,3884
0,0,34938,3875,3883,3883,3884,3883,3882,3882,3882,3884
0,-7,34937,3875,3883,3883,3883,3883,3882,3882,3882,3884
0,0,34938,3875,3883,3883,3884,3883,3882,3882,3882,3884
0,7,34938,3875,3883,3883,3884,3883,3882,3882,3882,3884
0,0,34938,3875,3883,3883,3883,3883,3882,3883,3882,3884
0,0,34937,3875,3883,3883,3883,3883,3882,3882,3882,3884
0,7,34938,3875,3883,3883,3883,3883,3882,3883,3882,3884
0,7,34938,3875,3883,3883,3883,3883,3882,3883,3882,3884
0,7,34938,3875,3883,3883,3884,3883,3882,3882,3882,3884
0,7,34936,3875,3883,3883,3883,3882,3882,3882,3882,3884
0,7,34937,3875,3883,3883,3883,3883,3882,3882,3882,3884
0,-7,34939,3875,3883,3883,3884,3883,3882,3883,3882,3884
0,0,34938,3875,3883,3883,3883,3883,3882,3883,3882,3884
0,0,34937,3875,3883,3883,3883,3883,3882,3882,3882,3884
0,0,34938,3875,3883,3883,3884,3883,3882,3882,3882,3884
0,-7,34937,3875,3883,3883,3883,3883,3882,3882,3882,3884
0,0,34939,3875,3883,3883,3884,3883,3882,3883,3882,3884
0,-7,34937,3875,3883,3883,3883,3883,3882,3882,3882,3884
0,0,34938,3875,3883,3883,3883,3883,3882,3883,3882,3884
0,-7,34938,3875,3883,3883,3883,3883,3882,3883,3882,3884
0,0,34938,3875,3883,3883,3883,3883,3882,3883,3882,3884
0,7,34938,3875,3883,3883,3883,3883,3882,3883,3882,3884
0,-7,34939,3875,3883,3883,3884,3883,3882,3883,3882,3884
0,0,34936,3875,3883,3883,3883,3883,3881,3882,3882,3884
0,-7,34937,3875,3883,3883,3883,3883,3882,3882,3882,3884
0,7,34937,3875,3883,3883,3883,3883,3882,3882,3882,3884
0,0,34939,3875,3883,3883,3884,3883,3882,3883,3882,3884
0,0,34939,3875,3883,3883,3884,3883,3882,3883,3882,3884
0,0,34937,3875,3883,3883,3883,3883,3882,3882,3882,3884
0,0,34937,3875,3883,3883,3883,3883,3882,3882,3882,3884
0,0,34938,3875,3883,3883,3884,3883,3882,3882,3882,3884
0,0,34938,3875,3883,3883,3883,3883,3882,3883,3882,3884
0,0,34939,3875,3883,3883,3884,3883,3882,3883,3882,3884
0,7,34937,3875,3883,3883,3883,3883,3882,3882,3882,3884
0,-7,34937,3875,3883,3883,3883,3883,3882,3882,3882,3884
0,0,34937,3875,3883,3883,3883,3883,3882,3882,3882,3884
0,7,34939,3875,3883,3883,3884,3883,3882,3883,3882,3884
0,0,34937,3875,3883,3883,3883,3882,3882,3883,3882,3884
0,-7,34937,3875,3883,3883,3883,3882,3882,3883,3882,3884
0,-7,34938,3875,3883,3883,3883,3883,3882,3883,3882,3884
